Nom Text,Latin Translation
昭 君 膝 下 承 歓,chiêu quân tất hạ thừa hoan
告 辞 娘 皮 算 阻 鞋,cáo từ nàng vừa toan trở hài
瞇 𣊍 職 桂 魂 梅,mơ màng giấc quế hồn mai
夢 中 丿 𧡊 聘 𬛕 漢 皇,mông trung phút thấy sánh vai hán hoàng
占 包 當 𣅶 更 残,chiêm bao đương lúc canh tàn
龍 顔 空 易 麻 假 真,long nhan không rễ mà giả chân
定 心 夢 源 干,định tâm mộng nguồn cơn
推 𠫾 𢪀 吏 舌 欣 論 盤,suy đi nghĩ lại thiệt hơn luận bàn
𢝙 𢚸 𠰘 𠳨,vui lòng miệng hỏi
圭 貫 紅 顔 𤍊 排,quê quán hồng nhan rõ bày
双 親 群 𠅎 呐 𣦍,song thân còn mất nói ngay
㐌 尼 結 𩯀 𫨩 𠫅 房 空,đã nói kết tóc hay đầy phòng không
娘 浪 監 禀 主 公,nàng rằng dám bẩm chúa công
桃 疎 柳 要 待 𥉫 英 䧺,đào to liễu yếu đợi trông anh hùng
越 州 父 母 於 拱,việt châu phụ mẫu ở cùng
王 祥 号 妾 昭 君 𠸜 尼,vương tường hiệu thiếp chiêu quân tên này
漢 皇 𦖑 奏 𢜠 台,hán hoàng nghe tấu mừng thay
西 宮 聀 意 封 𣦍 朱 娘,tây cung chức ấy phong ngay cho nàng
昭 君 夜 欣 歓,chiêu quân dạ hân hoan
叩 頭 百 拜 圣 皇 吀,khấu đầu bách bái thánh hoàng xin
𫺓 朱 會 合 朝 中,muốn cho hội hợp triều trung
越 州 連 召 𧗱 窮 配 縁,việt châu liền triệu về cùng phối duyên
𡽫 滝 匪 𠳒 願,non sông phỉ lời nguyền
漢 王 㐌 省 别 恬 占 包,hán vương đã tỉnh biết điềm chiêm bao
𢯢 𨖅 衣 臨 朝,sửa sang y lâm triêu
喭 台 麻 唒 台,ngán thay mà xấu thay
形 容 範 破 真 𢬣 似,hình dung vạm vỡ chân tay tựa
浪 稽 糝 𦧘 碎 音 我 𦋦,rằng ghê tấm thịt tôi ầm ngã ra
拁 𢬣 𢫕 連 𢭮,giơ tay bưng liền gửi
憲 官 浪 渚 諠,hiến quan rằng chớ huyên
傳 悲 唉 𪹷 抵 些 仕 用,truyện bay hãy nín để ta sẽ dùng
箕 𪀄 怒 蒲 𪇌,kìa chim nọ bồ nông
𤞨 昆 固 課 𨔈 拱 𤞻 星,bò con có thuở chơi cùng hùm tinh
固 番 拱 𢢂 固 𠳒 拱 傷,có phen cũng ghét có lời cũng thương
乙 拱 固 意 情,ắt cũng có ý tình
庒 空 埃 敢 𢫣 停 謨 制,chẳng không ai dám vác giành mua chơi
惜 台 𠊚 吏 𢵋 𠊛,tiếc thay người lại đua người
𥒥 尼 計 𥒥 非 常,đứa này kể đứa phi thường
眜 𥒥 肝,mắt đá gan
佞 臣 欺 𧘇 滇,nịnh thần khi ấy chan
仍 英 𡨺 役 共 專 候 仍,những anh giữ việc cũng chuyên hầu nhằng
都 饒 促 使 曽 平,đua nhau xục sỡ tưng bừng
几 浪 𦋦 扒 几 浪,kẻ rằng ra bắt kẻ rằng
𫙂 制 𦠆 埃 庄 固 圭 吒 坦 祖,râu chơi rốn ai chẳng có quê cha đất tổ
拮 固 始 終 几 罕 灰,cất có thuỷ chung kẻ hẳn hoi
姉 𠯅 嚛 知 呼,chị dức lác tri hô
㐌 精 吏 諳,đã tanh lại òm
憲 官 浪 渚 喑,hiến quan rằng chớ om
唉 朱 㛪 妸 仕 𥈶 性 情,hãy cho êm ả sẽ nom tính tình
油 沛 眾 奸,dù phải chúng gian
油 沛 眾 奸,dù phải chúng gian
体 些 動 樣 乙 情 眼 如,thấy ta động dạng ắt tình nhởn nhơ
女 欺 粓 迻,nữa khi cơm đưa
牢 群 於 帝 闭 徐 庒 𦋦,sao còn ở đấy bấy giờ chẳng ra
計 朱 实 几 肝,kể cho thực kẻ gan
𧘇 君 子 拱 丈 夫,ấy quân tử cũng trượng phu
咍 使 淑 𫔮 𨒣,hay sứ thục nhàn du
别 清 貴 謨 仙,biết thanh quý mua tiên
吏 媒 𤇮 急,lại mụ bếp kíp
𥙩 添 粓 女 吏 牢 楼,lấy thêm cơm nữa lại trao lầu
扽 粓 買 啂 昆 侯 迻 添,dọn cơm mấy nhủ con hầu đưa thêm
昆 侯 㖫 𠻴 𢫕 𨖲,con hầu lẳng lặng bưng lên
𠇮 猉 肝 𧑂 典 㙴 停 真,mình cầy gan cáy đến thềm dừng chân
玉 清 𠰷 淚 分,ngọc thanh lo lệ phần
㖫 仍 胣 怒 秦 箕,lăng nhăng dạ nọ tần kia
翁 阮 瓊 於 廊 安 域 縂 慈 光,Ông Nguyễn Quỳnh ở làng Yên Vực tổng Từ Quan
欺 𨖲 𦉱 𨖲 𠔭 𢆫,Khi lên bảy lên tám tuổi
𥙩 𦲿 桎 爫 旗 𦲿 蓮 爫 㳥,Lấy lá chuối làm cờ lá sen làm lộng
麻 吏 固 性 輕 𠊛,Mà lại có tính khinh người
𠬠 𣋚 𫡉 最 中 秋,Một hôm giữa đêm trung thu
穷 𡥵 制 𦝄,Cùng con chơi trăng
翁 意 保 𠎪 爫 轎 逴,Ông ấy bảo lũ làm kiệu rước
辰 些 迻 眾 悲 𠫾 䀡 𠊛 頭 𡚢 朋 丐 蒲,Thì ta đưa chúng bây đi xem người đầu to bằng cái bồ
𠎪 𦖑 𠳒 調 痗 𤻻 奇,Lũ nghe lời đều mỏi mệt cả
翁 瓊 保 眾 悲 強 𢪀 𠬠 祝,Ông Quỳnh bảo chúng bây càng nghĩ một chút
耒 騷 迻 𠫾 䀡,Rồi tao đưa đi xem
耒 迻 𠎪 𠓨 丐 茹 最,Rồi đưa lũ vào cái nhà tối
保 奇 低,Bảo cả đây
仍 侈 𡭬 𬨨 空 𪾋 䀡,Những đứa bé lạ không giám xem
只 侈 𢀲 於 吏 𦓡 僱,Chỉ đứa lớn ở lại mà cố
箕 眾 悲 𥊛 𠓨 壁 𦓡 䀡,Kìa chúng bây trông vào vách mà xem
翁 𡚢 頭 㐌 𫥨 帝,Ông to đầu đã ra đấy
𠎪 如 洛 𥊛,Lũ như nhác trông
只 𧡊 俸 瓊 於 壁,Chỉ thấy bóng quỳnh ở vách
頭 𡚢 如 丐 蒲 寔,Đầu to như cái bồ thật
𠎪 别 翁 意 𩢬,Lũ biết ông ấy lừa
生 𡎢 𢫔 拱 稽,sinh ngồi chệm cũng ghê
肝 時 貞 時 猪,gan thì trinh thì trơ
粓 耒 從 且 闭 徐,cơm rồi thong thả bấy giờ
𡥵 侯 别 意 𧗱 踈 每 𠳒,con hầu biết ý về thưa mọi lời
踈 浪 𨔍 𠁀,thưa rằng lạ đời
盆 情 喭 呐 仍 𠊚 凌 仍,buồn tành ngán nói những người lăng nhăng
假 噲 油 扲 朋,giả dối dù cầm bằng
抯 朱 散 丐 䋲 界 山,vả cho tan cái thằng giới sơn
𧵑 窖 揚,của khéo dang
粓 碎 𢫕 𫴋 産 床 連 唻,cơm tôi bưng xuống sẵn sàng liền xơi
憲 官 浪 拱 唭,hiến quan rằng cũng cười
𨖲 些 𠳨 𠳒 麻 𥋳,lên ta hỏi lời mà coi
昆 侯 𠳐 𠰺 罕 咴,con hầu vâng dạy hẳn hoi
侯 差 蚤 𫴋 麻 隊 𤽗 𨖲,hầu sai tao xuống mà đòi ngươi lên
𠳐 㖡 𢧚,vâng dạ nên
娘 皮 𧿨 𨃴 払 連 蹺 真,nàng vừa giở gót chàng liền theo chân
払 自 蹺 妸 𦋦 𡑝,chàng từ theo ả ra sân
襖 裙 𡲫 蘇,áo quần vải to
𫽄 𠲖 厲 𫽄 𢢆 𭉝,chẳng e lệ chẳng thẹn thò
𨆝 頭 爫 礼 肝 𠇮,cúi đầu làm lễ gan mình
阻 𫥨 扒 琼 爫 逴 者,Trở ra bắt Quỳnh làm rước giả
辰 翁 意 嗃 𠽍 𨖲,Thì ông ấy kêu rầm lên
翁 布 想 𠎪 打 扲 檑 𠓨 𠎪 𧼌,Ông bố tưởng lũ đánh cầm roi vào lũ chạy
吏 𠬠 𣋚 茹 固 魯 爫 𬚸 𤞼 𠶆 客 冬 𡗋,Lại một hôm nhà có giỗ làm thịt lợn mời khách đông lắm
憲 官 袩 体 生,hiến quan xem thấy sinh
𫽄 吱 悲 拱 𫽄 𢫞 易 之,chẳng chê bay cũng chẳng khinh rẻ gì
姅 信 姅 吏 胡,nửa tin nửa lại hồ
信 𧗱 士 幸 𧗱 焒,tin về sẽ hạnh về lửa
油 𫽄 瀝 𫽄 𦹳,dù chẳng sạch chẳng thơm
乙 㗂 於 行 粓 㐌 温,ắt tiếng ở hàng cơm đã ồn
買 傳 仍 几 下 门,mấy truyền những kẻ hạ môn
𦋦 外 朱 静 矯 屯 𠰺 庒,ra ngoài cho tĩnh kẻo đồn dạy chăng
隊 生 生 𨀈 𨖲 𧵆,đòi sinh sinh bước lên gần
𨍦 憲 買 噲 𧵆 朱 𫨩,sau hiến mấy gọi gần cho hay
浪 𤽗 𠳒 寔 沛 排,rằng ngươi lời thực phải bầy
因 牢 麻 敢 典 低 之,nhân sao mà dám đến đây gì
払 生 𢬣 歛 𨆝 跪,chàng sinh tay liễm gối quỳ
𩈘 時 𬂙 𠰘 時 𢭮 戈,mặt thì trông miệng thì gửi qua
莅 仁 平 陸 圭,lị nhân bình lục quê
阮 達 碎 阮 生,nguyễn đạt tôi nguyễn sinh
㛪 志 立 功 名,em chí lập công danh
尋 柴 北 道 移 𠇮 方 南,tìm thầy bắc đạo rời mình phương nam
𢧚 身 𣌋 𢼂 朱 甘,nên thân sớm số cho cam
活 䝉 刻 庒 貪 𠦳 鐄,hoạt mông khắc chẳng tham nghìn vàng
榾 爫 庒 𢧚 棱,cột làm chẳng nên dừng
沛 饒 朱 𢧚 卒 𦳦,phải nhau cho nên tốt tươi
咹 果 芇 樔 果 意,ăn quả nào rào quả ấy
𠄩 升 拱 𠓨 斗,hai thưng cũng vào đấu
係 别 併 𢜝 之 干 縱,hễ biết tính sợ chi cơn túng
咹 𩛷 𣋚 𩛷 枚,ăn bữa hôm bữa mai
𨇒 用 才 㐌 𠬕 歇 虚,lối dung tài đã bỏ hết hư
箕 仍 英 𫨩 詩 𫨩 賦,kìa những anh hay thơ hay phú
𫨩 經 義 𫨩 策 文 𡳪,hay kinh nghĩa hay sách văn đuôi
塘 進 化 尋 𦋦 寔 効,đường tiến hoa tìm ra thực hiệu
箕 仍 几 芇 𢃱 芇 芇 巴,kìa những kẻ nào mũ nào nào ba
芇 烏 𠇍 卒,nào ô máy tốt
梄 覩 拱 在 𨉟,giậu đổ cũng tại mình
群 責 之 埃 托 𤯩 醝,còn trách chi ai thác sống say
𦎛 俗 箕 陀 招 押 𫖀,gương tục kia đà treo áp mặt
椥 𫅷 𣒣 木 吝 欣 𠓀 群 懞 於 吏,tre già măng mọc lần hơn trước còn mong ở lại
𢣇 尋 方 學 窖,hăm tìm phương học khéo
鐘 自 由 㐌 打 𦖻,chuông tự do đã đánh tai
𢪀 朱 賖 事 拱 𢞂 唭,nghĩ cho xa sự cũng buồn cười
固 恪 之 虶 餒 𡥵 蝒,có khác chi vò nuôi con dện
𨅸 渚 任 飭 𨉓 群 沛,đứng chưa vững sức mình còn phải
渚 倍 浪 特 𧎝 𥒥 翁 㺔,chớ vội rằng được chấu đá ông voi
飭 意 䀡 𫥨 仃 固 強,sức ấy xem ra đừng có gượng
包 𣉹 亙 𫨩 猫 𡮈 扒 𤝞 𡥵,bao giờ cẳng hay mèo nhỏ bắt chuột con
𠇍 几 𠮾 唁 渚 凭 錢 寔 𧵑 假,mấy kẻ ngọt ngon chưa vững tiền thực của giả
事 箕 𪹾 技 麻 差,sự kia xét kỹ mà sai
𢀭 爫 狹 爫 单 機 羕 芇,giầu làm hẹp làm đơn cơ dường nào
料 怛 𢵋 几 沛,liệu đắn đo kẻ phải
日 𩂏 湄 疎 𩂏 風 陳 會 意,nhật che mưa thưa che phong trần hội ấy
𦋦 𢬣 搓 當 爫,ra tay xoay đáng làm
渚 如 埃 𧯶 𠰘 徐 呼 固 摡 固 𥉫,chớ như ai há miệng chờ ho có cấy có trông
固 槞 固 咹 𦋦 飭 𢲲,có trồng có ăn ra sức sang
𪤍 興 旺 庫 之 磋 凭 𡒯,nền hưng vượng khó chi xây vững móng
推 買 别 𢬣 𫨩 𧆄,suy mới biết tay hay thuốc
学 咹 学 呐 学 学,học ăn học nói học học
蹎 𣭻 𨀈 𣷭 沉 淪 牢 拱 沕 戈 潙,chân mau bước bể trầm luân sao cũng vẫn qua vời
𧡊 埃 𦓡 𣦍 寔 買 𢧚,thấy ai mà ngay thực mới nên
𠫾 𫥨 𠳨 𫅷 𧗱 茹 𠳨 𪨅,đi ra hỏi già về nhà hỏi trẻ
𢪀 𨉓 固 幽 迷 之 庒 别,nghĩ mình có u mê chi chẳng biết
𠰘 唁 𢖵 𥹰 条 𤴬 𢖵 𠁀,miếng ngon nhớ lâu điều đau nhớ đời
回 天 𧯶 祝 衝 𣦍 䏾 𢪀 朱 溇,hồi thiên há chốc xong ngay bụng nghĩ cho sâu
仃 老 如 𥺊 買 粓 𢜝 欺 涅 八,đừng láo như cháo mấy cơm sợ khi nát bét
𢚸 埃 國 唒 𤾓 𢆥 𥱬 妬 𢬣 扲 朱 凭,lòng ai quốc dẫu trăm năm ghi đó tay cầm cho vững
冷 爭 如 荇 空 㙁 渚 咹 埃,lanh chanh như hành không muối chưa ăn ai
吀 仃 楊 眜 𥉫 𩜙,xin đừng giương mắt trông nhau
𡗋 空 埃 㨂 厨 風 會 意,lắm không ai đóng chùa phong hội ấy
渃 𡽫 尼 埃 拱 算 朱 歇 飭,nước non này ai cũng toan cho hết sức
催 仃 𫅷 𠵘 呐,thôi đừng già mồm nói
𨑮 㺔 空 特 鉢 渃 套 志 氣,mười voi không được bát nước xáo chí khí
工 朱 質 振 特 如 唎,công cho chắc chắn được như lời
局 炎 邦 雖 𣷭 𡗋 番,cuộc viêm bang tuy bể lắm phen
東 固 𩄲 西 固 扶 持,đông có mây tây có phù trì
﨤 𣅶 𦋦 拱,gặp lúc ra cũng
鴻 洛 拱 英 㛪 𠬠 户,hồng lạc cũng anh em một họ
戈 低 袩 体 軒 堂,qua đây xem thấy hiên đường
英 㛪 仍 約 𢀭 𢀨 如 侯,anh em những ước giàu sang như hầu
姑 碎 制 於 園 𨍦,cô tôi chơi ở vườn sau
𠸍 𠀧 㗂 切 𤴬 𤾓 皮,mỉa ba tiếng thiết đau trăm bề
𤯩 於 廊 𨖅 於 渃 𠇍 句 哏 咘,sống ở làng sang ở nước mấy câu gắn bó
埃 從 且 𢪀 𦓡 𥋳,ai thong thả nghĩ mà coi
真 𨅸 吏 碎 𠵌,chân đứng lại tôi nghe
姑 浪 未 神 群 賖,cô rằng vị thần còn xa
量 困 碎 𢪀 庒 𦋦,lượng khốn tôi nghĩ chẳng ra
衝 先 决 噲 查 牟,xông tiên quyết hỏi tra mầu
姑 碎 𦝄 𣷭 強 溇,cô tôi trăng bể càng sâu
𫽄 浪 㗂 㐌 輸 𠀧 𣈜,chẳng rằng tiếng đã thâu ba ngày
埃 𧡊 瓊 𠊛 悟,Ai thấy Quỳnh người ngộ
拱 固 𢚸 腰 𦓡 撟,Cũng có lòng yêu mà ghẹo
𫏾 𨍦 𠳒 实 𤋵 排,trước sau lời thực giãi bày
他 朱 時 塊 扒 𣈙 沛 𠳐,tha cho thì khỏi bắt rầy phải vâng
憲 官 别 䝨 人,hiến quan biết hiền nhân
𦋦 踈 朗 月 拠 韻 浪,ra thơ lãng nguyệt cứ vần rằng
𠰺 𠊛 研 筆 𥙩 朱,dạy người nghiên bút lấy cho
生 𡎢 怯 料 𠰷 𠇮,sinh ngồi khép liệu lo mình
吏 隊 噲 玉 清,lại đòi gọi ngọc thanh
𦋦 体 格 袩 情 沛 庒,ra thể cách xem tình phải chăng
玉 清 諫 踈 浪,ngọc thanh ren thưa rằng
律 㐌 罪 平 吐 山,trót đã tội bằng thổ sơn
憲 官 皮 噲 皮,hiến quan vừa gọi vừa
㐌 欺 咶 喯 吏 干 杜 停,đã khi thét mắng lại cơn dõ dành
百 官 品 腹 條 朝 𤤰,bách quan phẩm phục điều chầu vua
判 拱 官 夢 欣 輸,phán cùng quan mộng hân du
𠳒 浪 泣 具 𡗶 生,lời rằng khắp cụ giời sinh
𨍦 庒 恪 事 情 庒 差,sau chẳng khác sự tình chẳng sai
别 𫨩 浪 几 英 才,biết hay rằng kẻ anh tài
啂 生 吏 踈 排 袩 朱,nhủ sinh lại sơ bài xem cho
踈 浪,thơ rằng
灰 忽 皮 欺 𤇮 爐,hui hút vừa khi bếp lò
𬂙 𦋦 落 体 月 陀,trông ra nhác thấy nguyệt đà
𤏣 准 宮 𩄲 𫄑 准 𤇦,tỏ chốn cung mây nối chốn mù
𤎜 域 隊 泣,sáng vằng đòi khắp
袩 耒 料 𠰷,xem rồi liệu lo
憲 官 浪 特 𡗶 朱 壻 䝨,hiến quan rằng được giời cho rể hiền
天 縁 窖 定 姻 縁,thiên duyên khéo định nhân duyên
油 庒 權 暫 權 㐌 餘,dù chăng quyền tạm quyền đã dư
講 朱 生 别 尽 辝,giảng cho sinh biết tận từ
乙 木 推 如 神 位,ắt mộc suy như thần vì
催 推 庒 爫 之,thôi suy chẳng làm chi
係 君 子 詫 之 小 人,hễ quân tử sá gì tiểu nhân
些 袩 𥪝 會 竜 雲,ta xem trong hội long vân
乙 𤽗 拱 固 分 門 绵,ắt ngươi cũng có phần mon men
𢜝 之 𠳒 世 吱,sợ gì lời thế chê
𢜝 之 𠳒 世 吱,sợ gì lời thế chê
於 低 些 仕 料 鍊 習 朱,ở đây ta sẽ liệu rèn tập cho
生 浪 資 質 𢧚,sinh rằng tư chất nên
𢌌 𠰷 𣷭 愛 德 𠰷 𡽫 鐄,rộng lo bể ái đức lo non vàng
固 𠬠 翁 秀 𠸜 吉,Có một ông Tú tên Cát
𧼋 旦 豹 𦖻 瓊 𦓡 保 浪,Chạy đến béo tai Quỳnh mà bảo rằng
騷 𫥨 朱 𠬠 勾 対,Tao ra cho một câu đối
𢓽 対 特 辰 騷 他,Hễ đối được thì tao tha
句 対 浪,Câu đối rằng
𤞼 艮 咹 粓 巽,Lợn cấn ăn cám tốn
瓊 対 𣦍 浪,Quỳnh đối ngay rằng
㹥 坤 𠤆 哏 乾,Chó khôn chớ cắn càn
翁 秀 吏 𫥨 勾 女 浪,Ông Tú lại ra câu nữa rằng
𡗶 生 翁 秀 吉,Trời sinh ông Tú Cát
瓊 吏 対 應 口 浪,Quỳnh lại đối ứng khẩu rằng
坦 丐 蜅 凶,Đất cái bò hung
翁 𤏧 灯 衝 保 浪,Ông thắp đèn xong bảo rằng
縣 弘 化 省 清 化,Huyện Hoằng Hoá tỉnh Thanh Hoá
杜 人 𧗱 𠁀 景 興 茹 後 黎,Đậu nhân về đời Cảnh Hưng nhà Hậu Lệ
制 㐌 固 氣 象 几 奇,Chơi đã có khí tướng kẻ cả
底 蚤 𠫾 針 焒 𤐝 朱 䀡 翁 𡚢 頭,Để tao đi châm lửa soi cho xem ông to đầu
翁 秀 沛 丐 𡀀 截 秩,Ông Tú phải cái bấm tiệt chặt
旦 𡢐 官 司 天 䀡 天 文,Đến sau quan tư thiên xem thiên văn
𧡊 𧗱 地 分 省 清 固 𠬠 𡾵 𬁖 𠓇,Thấy về địa phận tỉnh Thành có một ngôi sao sáng
聀 浪 省 意 固 𠊛 才,Chắc rằng tỉnh ấy có người tài
仍 空 别 於 𧗱 廊 芇,Nhưng không biết ở về làng nào
𠓨 奏 𤤰,Vào tâu vua
𤤰 交 廷 臣 𪹾,Vua giao đình thần xét
固 𠬠 員 奏 浪,Có một viên tâu rằng
吀 交 朱 省 臣 清 化 飭 朱 𤁘 轄 每 廊 沛 進 𠬠 昆 羝 特 𦍺,Xin giao cho tỉnh thần Thanh Hoá sức cho trong hạt mỗi làng phải tiến một con dê đực chửa
限 𠬠 𣎃 空 特 辰 治 罪,Hạn một tháng không được thì trị tội
丸 飭 𧗱 各 廊,Hoàn sức về các làng
計 辝 包 𧘇 女 算 准,kể từ bao ấy nỡ toan chốn
𠲝 時 𢧚 几 爫 高,chối thời nên kẻ làm cao
𠵌 時 𠰘 卋 噋 嗃 坤 寒,nghe thời miệng thế xôn xao khôn hàn
𠳐 𠳒 𨍦 仕 𡬶 郎,vâng lời sau sẽ tìm sang
悲 𣉹 嗔 強 𨖲 塘 深,bây giờ xin cẵng lên đường thăm
裊 麻 於 丕 爫 清,nếu mà ở vậy làm thinh
𢀭 𢀨 渚 体 𢫞 㐌 例,giàu sang chưa thấy khinh đã lề
憲 官 浪 渚 世 時,hiến quan rằng chớ thế thì
仃 𠰷 生 唉 劄 𥱬 𠇍 𠳒,đừng lo sinh hãy chép ghi mấy lời
底 義 沛 扒 𠊛,để nghĩa phải bắt người
吟 珪 皮 意 昔 為 迻 信,ngâm khuê vừa ý tếch vời đưa tin
𠵌 𠳒 生 筆 研,nghe lời sinh bút nghiên
幅 雲 箋 𠳚 𧗱,bức vân tiên gửi về
小 童 𠳐 𠰺 𦋦 𠫾,tiểu đồng vâng dậy ra đi
各 耆 𢜝,Các kì sợ
𦓡 翁 親 生 𫥨 瓊 吏 強 𢜝 欣,Mà ông thân sinh ra Quỳnh lại càng sợ hơn
𠇮 兄 次 𥪝 廊,mình huỳnh thư trong làng
求 塊 富 溪,cầu khỏi phú kê
典 場 文,đến trường văn
𨔍 𨓡 群 秦 麻 𬂙,lạ lùng còn tần mà trông
必 沛 干 咎,Tất phải can cữu
𧗱 茹 盘 𮥷 吧 怨 恨 茹 𤤰 𠾕 仍 事 苦 巾,Về nhà bàn nàn và oán hận nhà vua đồi những sự khó khăn
瓊 𧡊 布 劍 𦳦 買 𠳨,Quỳnh thấy bố kém tươi mới hỏi
𣋚 𫢩 柴 固 役 之 𦓡 𢗼 煩,Hôm nay thầy có việc gì mà lo phiền
翁 布 當 愊 𠇮,Ông bố đang bực mình
𠻵 浪,Mắng rằng
役 廊 役 渃,Việc làng việc nước
𪨅 𡥵 别 𦓡 𠳨,Trẻ con biết mà hỏi
瓊 𧡊 布 空 呐 一 定 𠳨 朱 𫥨,Quỳnh thấy bố không nói nhất định hỏi cho ra
翁 布 沛 計 寔 朱 𦖑,Ông bố phải kể thật cho nghe
瓊 理 喽 浪,Quỳnh lí láu rằng
想 役 之,Tưởng việc gì
渚 役 意 干 之 布 沛,Chớ việc ấy cần gì bố pải
茹 𤤰 扒 納 𠬠 𡥵 渚 扒 納 𨑮 𡥵 拱 固,Nhà vua bắt nộp một con chớ bắt nộp mười con cũng có
敢 客 於 𨕭 𠁀,dám khách ở trên đời
咹 制 朱 沛 别 𠳒 𠓀 𡢐,ăn chơi cho phải biết lời trước sau
停 庫 渚 𢚁 𢀭,đừng khó chớ cậy giàu
古 初 𠳒 𠸠 𧗱 初,cổ sơ lời ví về sơ
埃 𢀭 𠄩 户 包 徐,ai giầu hai họ bao giờ
空 埃 庫 典 𠀧 𠁀 麻,không ai khó đến ba đời mà
箕 如 丐 埃 扜,kìa như cái ai vo
梗 埃 别 朱 世,cành ai biết cho thế
𡶀 箕 埃 㙮 麻 高,núi kia ai đắp mà cao
滝 箕 𣷭 意 埃 陶 麻 溇,sông kia bể ấy ai đào mà sâu
渃 朝 埃 薩 埃 洃,nước chiều ai tát ai khoi
干 𨖲 辰 世 干 耒 如 空,càn lên thời thế càn rồi như không
𥪝 棱 核 意 埃 槞,trong rừng cây ấy ai trồng
𩈘 𡗶 埃 𥙩 爫 金 烏,mặt trời ai lấy làm kim ô
𡄎 䀡 造 化 机 圖,gẫm xem tạo hoá cơ đồ
算 拱 丕 敖 𨒣 妥 𠁀,toan cũng vậy ngao du thoả đời
戈 亊 在 𡗶,qua sự tại trời
人 生 埃 拱 刼 𠊛 麻 催,nhân sinh ai cũng kiếp người mà thôi
吏 䀡 傳 䀡 制,lại xem truyện xem chơi
㗂 項 羽 英 才 埃 當,tiếng hạng vũ anh tài ai đương
力 能 鼎 拔 山,lực năng đỉnh bạt sơn
身 長 八 尺 皇 㐌 驚,thân tràng bát xích hoàng đã kinh
䀡 西 代 東 征,xem tây đại đông chinh
百 戰 百 勝 㐌 𩑭 𫡦 𡗶,bách chiến bách thắng đã khuynh chín trời
埃 台 垓 不 变 移,ai thay gây bất biến rời
王 一 勝 𨖲 治 位,vương nhất thắng lên trị vì
従 容 固 逹 欺,thong dong có đạt khi
計 制 各 𨁯 麻 推 亊 𡗶,kể chơi các tích mà suy sự trời
於 𠁀 几 𠁀,ở đời kẻ đời
争 坤 争 窖 埃 埋 特 𡗉,tranh khôn tranh khéo ai may được nhiều
𠊛 咹 於 别 調,người ăn ở biết điều
塊 㳥 吶 料 滇 滇,khỏi sóng nói liều chan chan
窖 台 逹 垥 人 間,khéo thay đạt đắp nhân gian
傳 𥪝 呐 𠬠 外 盘 𦋦 𠀧,truyện trong nói một ngoài bàn ra ba
催 催 内 𠃣 拱,thôi thôi nói ít cũng
吱 𠸦 塊 㗂 𦝄 麻,chê khen khỏi tiếng trăng mà
悲 徐 計 跡 𧊉,bây giờ kể tích bướm
埃 䀡 旦 傳 計 𦋦 買 詳,ai xem đến truyện kể ra mới tường
逹 排 亊 𧊉 𤉜,đạt bày sự bướm ràng
形 殊 時 间 㗂 𢀨 埃,hình thù thời gian tiếng sang ai
𡗶 泣 各 式 核,trời khắp các thức cây
童 達 童,đồng đạt đồng
朋 埃 𣦍 实 麻 𢚸 許 香,bằng ai ngay thực mà lòng hở hang
𨍦 𬂙 体 𩈘 払,sau trông thấy mặt chàng
𦋦 朝 恪 𧘇 如 羕 𢜝 些,ra chiều khác ý như dường sợ ta
踈 浪 沛 達 時 𦋦,thưa rằng phải đạt thời ra
信 𢜠 尼 固 阮 生,tin mừng này có nguyễn sinh
倍 傍 達 買 接 迎,vội vàng đạt mới tiếp nghênh
噲 童 朱 别 意 情 爫 牢,hỏi đồng cho biết ý tình làm sao
小 童 計 歇 湿 高,tiểu đồng kể hết thấp cao
𠄼 丐 𠄼 吝 𠄼 𤾓 𠄼 𨑮 𠄼 𢆥,năm cái năm lần năm trăm năm mươi năm năm
𠄼 𡥵 隻 𠄼 𣈜 咍 𠄼 𠄼 𣈗,năm con chiếc năm ngày hay năm năm ngày
𠄼 𠊛 𠄼 𠊚 數 𠄼 数 𠄼 𢼂 𠄼,năm người năm người số năm số năm số năm
𢆥 外 𢆥 𫢩 𢆥 𠉞 𠇍 𢆥 𢆥 耒,năm ngoái năm nay năm nay mấy năm năm rồi
𢆥 𡢐 𢆥 𡢐 𢆥 𠓀 𢆥 𫏾,năm sau năm sau năm trước năm trước
𠀧 丐 𠀧 吝 𠀧 𢆥 次 𠀧 𠀧 𡥵,ba cái ba lần ba năm thứ ba ba con
爸 呐 爸 吶 爸 媽 爸 𧵑 𧵑 爸 爸 奴 爸 𠋥 爸 碎 爸 𠋺,ba nói ba nói ba má ba của của ba ba nó ba mày ba tôi ba tao
朱 買 吏 迻 𢭂 詞,cho mấy lại đưa trao tờ
達 卜 袩 礼 詞,đạt bóc xem lẽ từ
𦋦 袩 体 詩 詞 𦊚 句,ra xem thấy thơ từ bốn câu
固 詩 浪,có thơ rằng
𠳒 自 謝 𠳚 呈 英,lời từ tạ gửi trình anh
过 𢚷 朱 𢧚 几 情,quá giận cho nên kẻ tình
油 忍 酌 朱 嗔 免 責,dù nhan chước cho xin miễn trách
矯 吱 浪 保 浪 𢫞,kẻo chê rằng bảo rằng khinh
達 連 袩 体 詩 生,đạt liền xem thấy thơ sinh
扲 蓮 達 爫 清 唭,cầm lên đặt làm thinh cười
